ID,Signal
P19003_Bioclone_1,-0.7634848325000001
P19003_Bioclone_2,-0.5714301974999999
P19003_Bioclone_3,-0.616730035
P19003_Bioclone_4,1.6869661750000002
P19003_Bioclone_5,0.6409055124999999
P19003_Bioclone_6,0.906643335
P19003_Bioclone_7,0.212830721
P19003_Bioclone_8,0.7923534975
P19003_Bioclone_9,0.8705416500000001
P19003_Bioclone_10,1.06219841
P19003_Bioclone_11,1.6041947
P19003_Bioclone_12,1.231873775
P19003_Bioclone_13,0.8341718749999999
P19003_Bioclone_14,-0.151791754
P19003_Bioclone_15,-0.376451735
P19003_Bioclone_16,-0.3404868525
P19003_Bioclone_17,-0.22475829749999998
P19003_Bioclone_18,-0.8552553150000001
P19003_Bioclone_19,-0.8154085799999999
P19003_Bioclone_20,-0.3145784325
P19003_Bioclone_21,-0.74117551
P19003_Bioclone_22,-0.6133094475
P19003_Bioclone_23,-0.48091636750000005
P19003_Bioclone_24,-0.037057247
P19003_Bioclone_25,-0.14612467325
P19003_Bioclone_26,0.11594388600000001
P19003_Bioclone_27,0.447885349
P19003_Bioclone_28,0.28590774750000003
P19003_Bioclone_29,-0.10093470499999999
P19003_Bioclone_30,-0.16878066750000004
P19003_Bioclone_31,-0.43692639499999997
P19003_Bioclone_32,-0.5395223725
P19003_Bioclone_33,-0.46872803249999995
P19003_Bioclone_34,-0.3991149725
P19003_Bioclone_35,-0.47957909000000004
P19003_Bioclone_36,-0.31694661749999997
P19003_Bioclone_37,0.39774469250000005
P19003_Bioclone_38,0.7391921775
P19003_Bioclone_39,0.521929585
P19003_Bioclone_40,-0.15528865125
P19003_Bioclone_41,-0.28076366
P19003_Bioclone_42,0.2340706725
P19003_Bioclone_43,0.406977965
P19003_Bioclone_44,0.5133227265
P19003_Bioclone_45,1.1673211074999998
P19003_Bioclone_46,0.057885557250000004
P19003_Bioclone_47,-0.57981459
P19003_Bioclone_48,-0.6150914399999999
P19003_ICP_1,0.057581666
P19003_ICP_2,0.5492769275
P19003_ICP_3,0.53373689
P19003_ICP_4,1.3052758
P19003_ICP_5,1.04985521
P19003_ICP_6,1.35049485
P19003_ICP_7,0.83025925
P19003_ICP_8,0.9153263875000001
P19003_ICP_9,1.250986225
P19003_ICP_10,1.58170375
P19003_ICP_11,1.80592415
P19003_ICP_12,1.624885025
P19003_ICP_13,1.342149
P19003_ICP_14,1.2446135999999999
P19003_ICP_15,1.0994866625
P19003_ICP_16,1.3117645000000002
P19003_ICP_17,1.1367172375
P19003_ICP_18,0.1495040326
P19003_ICP_19,0.0276430165
P19003_ICP_20,0.30815772
P19003_ICP_21,-0.3354497675
P19003_ICP_22,-0.200876565
P19003_ICP_23,-0.46839827
P19003_ICP_24,-0.39156656500000003
P19003_ICP_25,-0.2786606425
P19003_ICP_26,-0.306470685
P19003_ICP_27,0.456886105
P19003_ICP_28,0.19104047375
P19003_ICP_29,0.5414824050000001
P19003_ICP_30,0.5048067125
P19003_ICP_31,-0.19514126425
P19003_ICP_32,0.029181948750000006
P19003_ICP_33,0.1994434665
P19003_ICP_34,0.6566778249999999
P19003_ICP_35,0.9674883375000001
P19003_ICP_36,-0.02121274585
P19003_ICP_37,-0.1548004745
P19003_ICP_38,-0.361816735
P19003_ICP_39,-0.368635645
P19003_ICP_40,-0.24553399750000002
P19003_ICP_41,-0.17226324999999998
P19003_ICP_42,0.010630729249999998
P19003_ICP_43,0.08454425125000001
P19003_ICP_44,0.14121601875
P19003_ICP_45,0.49968880499999996
P19003_ICP_46,0.5627443299999999
P19003_ICP_47,0.5636096850000001
P19003_ICP_48,0.23560659750000001
P19003_Inosan_1,0.16946164375
P19003_Inosan_2,0.5923900700000001
P19003_Inosan_3,0.28309186
P19003_Inosan_4,1.7005869249999999
P19003_Inosan_5,1.3771771000000002
P19003_Inosan_6,1.7668366249999998
P19003_Inosan_7,1.15545185
P19003_Inosan_8,1.3699245750000002
P19003_Inosan_9,2.2828851
P19003_Inosan_10,2.7347372249999995
P19003_Inosan_11,2.993801925
P19003_Inosan_12,2.71007115
P19003_Inosan_13,2.72510655
P19003_Inosan_14,2.13804365
P19003_Inosan_15,1.624104725
P19003_Inosan_16,1.387444275
P19003_Inosan_17,1.342994225
P19003_Inosan_18,0.15015602675
P19003_Inosan_19,0.11560362937500002
P19003_Inosan_20,0.3806413475
P19003_Inosan_21,-0.47317941
P19003_Inosan_22,-0.35996253500000003
P19003_Inosan_23,-0.5717193700000001
P19003_Inosan_24,-0.2576082225
P19003_Inosan_25,0.1210772825
P19003_Inosan_26,0.30218825
P19003_Inosan_27,1.4392440000000002
P19003_Inosan_28,1.092842975
P19003_Inosan_29,0.8042752849999999
P19003_Inosan_30,1.1073723825000001
P19003_Inosan_31,0.82610596
P19003_Inosan_32,1.1342130750000001
P19003_Inosan_33,1.45007045
P19003_Inosan_34,1.206501375
P19003_Inosan_35,0.80242778
P19003_Inosan_36,0.42662205
P19003_Inosan_37,0.8572092
P19003_Inosan_38,0.609797325
P19003_Inosan_39,0.29835817
P19003_Inosan_40,-0.2780332675
P19003_Inosan_41,-0.32265824000000004
P19003_Inosan_42,0.19879357874999998
P19003_Inosan_43,0.43492976
P19003_Inosan_44,0.56182193
P19003_Inosan_45,1.2629133499999998
P19003_Inosan_46,1.175717975
P19003_Inosan_47,1.26921545
P19003_Inosan_48,0.440282375
P19003_Premium_1,0.198807775
P19003_Premium_2,0.271642955
P19003_Premium_3,0.2490619925
P19003_Premium_4,1.988584475
P19003_Premium_5,1.2351739
P19003_Premium_6,1.4591674
P19003_Premium_7,0.6257833349999999
P19003_Premium_8,1.138961925
P19003_Premium_9,2.028877375
P19003_Premium_10,2.4442423499999997
P19003_Premium_11,2.672635875
P19003_Premium_12,2.54295985
P19003_Premium_13,2.3814919750000003
P19003_Premium_14,1.7549463250000001
P19003_Premium_15,1.3507080499999997
P19003_Premium_16,1.22360415
P19003_Premium_17,1.2457366
P19003_Premium_18,1.1615392500000001
P19003_Premium_19,1.019896115
P19003_Premium_20,1.128021535
P19003_Premium_21,0.568915775
P19003_Premium_22,1.0160759625
P19003_Premium_23,0.9109433899999999
P19003_Premium_24,0.7116684799999999
P19003_Premium_25,0.73043896
P19003_Premium_26,0.6273468524999999
P19003_Premium_27,0.8809874125
P19003_Premium_28,0.9303189275
P19003_Premium_29,0.35566553500000003
P19003_Premium_30,0.6739488325
P19003_Premium_31,0.956437875
P19003_Premium_32,0.9035323075
P19003_Premium_33,1.0145775875
P19003_Premium_34,0.9605017125000002
P19003_Premium_35,0.6222493099999999
P19003_Premium_36,0.687309325
P19003_Premium_37,2.32569235
P19003_Premium_38,2.0944513
P19003_Premium_39,1.7485185999999997
P19003_Premium_40,0.9723008375000001
P19003_Premium_41,0.6841499525000001
P19003_Premium_42,1.13123725
P19003_Premium_43,1.5329263499999999
P19003_Premium_44,1.453823675
P19003_Premium_45,2.342458275
P19003_Premium_46,1.7624616
P19003_Premium_47,1.4574895
P19003_Premium_48,1.21911945
P19003_SAVP_1,1.1655706000000001
P19003_SAVP_2,0.9163084625
P19003_SAVP_3,0.3361872775
P19003_SAVP_4,2.51614585
P19003_SAVP_5,1.6169015500000001
P19003_SAVP_6,2.0837395499999998
P19003_SAVP_7,1.2684156
P19003_SAVP_8,1.7537148
P19003_SAVP_9,2.318236825
P19003_SAVP_10,2.8012200000000003
P19003_SAVP_11,3.307008275
P19003_SAVP_12,2.99355775
P19003_SAVP_13,2.499525625
P19003_SAVP_14,2.074835925
P19003_SAVP_15,1.41958855
P19003_SAVP_16,1.2665064
P19003_SAVP_17,1.4274567249999999
P19003_SAVP_18,1.223774375
P19003_SAVP_19,1.216155275
P19003_SAVP_20,1.61123965
P19003_SAVP_21,1.045948565
P19003_SAVP_22,1.3333102000000001
P19003_SAVP_23,1.5703522250000002
P19003_SAVP_24,1.6757545999999999
P19003_SAVP_25,1.5924092
P19003_SAVP_26,1.705315075
P19003_SAVP_27,2.7657754
P19003_SAVP_28,2.568548325
P19003_SAVP_29,2.208472425
P19003_SAVP_30,2.624645775
P19003_SAVP_31,2.14621145
P19003_SAVP_32,2.622034625
P19003_SAVP_33,2.934156075
P19003_SAVP_34,2.436679625
P19003_SAVP_35,1.1761783675
P19003_SAVP_36,1.43382315
P19003_SAVP_37,2.104170325
P19003_SAVP_38,1.976847075
P19003_SAVP_39,1.553935375
P19003_SAVP_40,0.8108711325000001
P19003_SAVP_41,0.5678792874999999
P19003_SAVP_42,1.1503418
P19003_SAVP_43,1.43294985
P19003_SAVP_44,1.424145125
P19003_SAVP_45,2.152685525
P19003_SAVP_46,2.029644525
P19003_SAVP_47,2.0654351
P19003_SAVP_48,1.437755225
P19003_Sanofi_Pasteur_1,0.519126525
P19003_Sanofi_Pasteur_2,0.6643583125
P19003_Sanofi_Pasteur_3,0.5573955375
P19003_Sanofi_Pasteur_4,2.0690757
P19003_Sanofi_Pasteur_5,1.72606145
P19003_Sanofi_Pasteur_6,1.9616901
P19003_Sanofi_Pasteur_7,1.255297625
P19003_Sanofi_Pasteur_8,1.6034565
P19003_Sanofi_Pasteur_9,2.064557725
P19003_Sanofi_Pasteur_10,2.326949175
P19003_Sanofi_Pasteur_11,2.55360415
P19003_Sanofi_Pasteur_12,2.2289357
P19003_Sanofi_Pasteur_13,2.14619965
P19003_Sanofi_Pasteur_14,1.92411365
P19003_Sanofi_Pasteur_15,1.3658476750000001
P19003_Sanofi_Pasteur_16,1.284054725
P19003_Sanofi_Pasteur_17,1.3979147999999997
P19003_Sanofi_Pasteur_18,1.1808059
P19003_Sanofi_Pasteur_19,1.055000235
P19003_Sanofi_Pasteur_20,1.234950375
P19003_Sanofi_Pasteur_21,0.689229925
P19003_Sanofi_Pasteur_22,1.03451624
P19003_Sanofi_Pasteur_23,0.9965245174999999
P19003_Sanofi_Pasteur_24,0.79815535
P19003_Sanofi_Pasteur_25,0.84969485
P19003_Sanofi_Pasteur_26,0.762608175
P19003_Sanofi_Pasteur_27,1.41282425
P19003_Sanofi_Pasteur_28,1.1909430749999999
P19003_Sanofi_Pasteur_29,0.9016497775
P19003_Sanofi_Pasteur_30,1.296517475
P19003_Sanofi_Pasteur_31,1.25947385
P19003_Sanofi_Pasteur_32,1.4103840500000002
P19003_Sanofi_Pasteur_33,1.6044447000000002
P19003_Sanofi_Pasteur_34,1.570882675
P19003_Sanofi_Pasteur_35,1.131169775
P19003_Sanofi_Pasteur_36,0.6209451324999999
P19003_Sanofi_Pasteur_37,0.9480147000000001
P19003_Sanofi_Pasteur_38,0.89472235
P19003_Sanofi_Pasteur_39,0.6761027774999999
P19003_Sanofi_Pasteur_40,0.23385318500000002
P19003_Sanofi_Pasteur_41,0.0687557775
P19003_Sanofi_Pasteur_42,0.5166382675
P19003_Sanofi_Pasteur_43,0.7721932625
P19003_Sanofi_Pasteur_44,0.7702548574999999
P19003_Sanofi_Pasteur_45,1.37861385
P19003_Sanofi_Pasteur_46,1.174241735
P19003_Sanofi_Pasteur_47,1.35858645
P19003_Sanofi_Pasteur_48,1.180871875
P19003_VINS_Africa_1,1.17354895
P19003_VINS_Africa_2,1.02339801
P19003_VINS_Africa_3,0.7710416874999999
P19003_VINS_Africa_4,2.904804875
P19003_VINS_Africa_5,2.16441075
P19003_VINS_Africa_6,2.355557775
P19003_VINS_Africa_7,1.3724756
P19003_VINS_Africa_8,1.6105418
P19003_VINS_Africa_9,2.108104875
P19003_VINS_Africa_10,2.4376126
P19003_VINS_Africa_11,2.824611875
P19003_VINS_Africa_12,2.562174
P19003_VINS_Africa_13,2.186672625
P19003_VINS_Africa_14,1.3906790000000002
P19003_VINS_Africa_15,0.8835811299999999
P19003_VINS_Africa_16,0.95181859
P19003_VINS_Africa_17,0.9850779375
P19003_VINS_Africa_18,0.7171297125
P19003_VINS_Africa_19,0.7066796
P19003_VINS_Africa_20,0.868348125
P19003_VINS_Africa_21,0.43220455249999995
P19003_VINS_Africa_22,0.7422186924999999
P19003_VINS_Africa_23,0.6874060575000001
P19003_VINS_Africa_24,0.5112948425
P19003_VINS_Africa_25,0.6326260225
P19003_VINS_Africa_26,0.650456265
P19003_VINS_Africa_27,1.0346334575
P19003_VINS_Africa_28,0.872250725
P19003_VINS_Africa_29,0.4215620075
P19003_VINS_Africa_30,0.825103765
P19003_VINS_Africa_31,0.9130978649999999
P19003_VINS_Africa_32,0.86033698
P19003_VINS_Africa_33,1.063737375
P19003_VINS_Africa_34,1.0394140575000002
P19003_VINS_Africa_35,0.44787425000000003
P19003_VINS_Africa_36,0.07852952275
P19003_VINS_Africa_37,1.86237055
P19003_VINS_Africa_38,1.777737875
P19003_VINS_Africa_39,1.457392275
P19003_VINS_Africa_40,0.7120387750000001
P19003_VINS_Africa_41,0.4396750175
P19003_VINS_Africa_42,0.92658955
P19003_VINS_Africa_43,1.2337663
P19003_VINS_Africa_44,1.261770025
P19003_VINS_Africa_45,2.12099825
P19003_VINS_Africa_46,1.4242409
P19003_VINS_Africa_47,1.145445575
